CensusTract,State,County,Urban,Pop2010,OHU2010,LILATracts_1And10,LILATracts_1And20,LILATracts_Vehicle,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LA1and20,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP05_10,LALOWI1_10,LALOWI05_10,lapop1,lapop1share,lapop10,lapop10share,lalowi10,lalowi10share,lapop20,lapop20share,lalowi20,lalowi20share,TractLOWI,TractHUNV
25001010100,Massachusetts,Barnstable County,1,2942,1765,0,0,0,1,11,77969,0,0,0,0,0,0,989,67,282,227,7.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,744,211
25001010206,Massachusetts,Barnstable County,0,2750,1366,0,0,0,1,10.5,75943,0,0,0,0,0,0,NULL,NULL,NULL,1690,61.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,41
25001010208,Massachusetts,Barnstable County,0,2003,984,0,0,0,1,5.4,67477,0,0,0,0,0,0,NULL,NULL,NULL,2003,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,23
25001010304,Massachusetts,Barnstable County,1,2421,1179,0,0,0,0,4.4,102574,1,1,1,0,0,0,2378,318,366,2002,82.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,52
25001010306,Massachusetts,Barnstable County,1,2535,1209,1,1,0,1,9.9,71019,1,1,1,0,0,0,2535,491,491,2535,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,20
25001010400,Massachusetts,Barnstable County,1,2999,1494,0,0,0,0,6.5,88162,1,1,1,0,0,0,1966,90,237,1139,37.99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,501,34
25001010500,Massachusetts,Barnstable County,1,2891,1456,0,0,0,0,6.9,103542,1,1,1,0,0,1,2192,131,328,989,34.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,454,169
25001010600,Massachusetts,Barnstable County,1,2973,1536,0,0,0,0,7.5,102014,1,1,1,0,0,0,2593,203,457,1633,54.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,546,94
25001010700,Massachusetts,Barnstable County,1,3152,1549,0,0,0,0,10.5,110938,1,1,1,0,0,0,2931,488,596,2355,74.72,0,0,0,0,NULL,NULL,NULL,NULL,627,47
25001010800,Massachusetts,Barnstable County,1,4878,2164,0,0,0,0,5.9,79234,1,1,1,0,0,0,4586,687,811,3627,74.36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,767,43
25001010900,Massachusetts,Barnstable County,1,4942,2219,0,0,0,0,4.4,87021,1,1,1,0,0,1,4511,462,623,3401,68.82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,742,174
25001011002,Massachusetts,Barnstable County,1,4157,1800,0,0,0,0,5.5,90000,1,1,1,0,0,0,3736,533,749,2395,57.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,808,75
25001011100,Massachusetts,Barnstable County,1,4694,2102,0,0,0,0,4.7,98453,1,1,1,0,0,0,4453,442,528,3740,79.67,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,558,12
25001011200,Massachusetts,Barnstable County,1,3392,1721,0,0,0,0,8.9,101768,1,1,1,0,0,1,3133,738,908,2677,78.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,972,113
25001011300,Massachusetts,Barnstable County,1,2600,1293,0,0,0,0,5.6,91164,0,0,0,0,0,0,2009,68,312,428,16.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,34
25001011400,Massachusetts,Barnstable County,1,2991,1466,0,0,0,0,12.2,90542,1,1,1,0,0,0,2991,488,519,2841,94.98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,540,23
25001011500,Massachusetts,Barnstable County,1,4029,1808,1,1,0,1,13.4,75684,1,1,1,0,0,0,3625,622,1090,1837,45.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1137,68
25001011600,Massachusetts,Barnstable County,1,2710,1390,0,0,0,1,14.8,71739,0,0,0,0,0,0,1367,113,464,331,12.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,937,123
25001011700,Massachusetts,Barnstable County,1,1877,971,0,0,0,0,6.6,92292,1,1,1,0,0,0,1877,292,368,1420,75.66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347,90
25001011801,Massachusetts,Barnstable County,0,2403,1297,0,0,0,0,5.5,94200,0,0,0,0,0,0,NULL,NULL,NULL,911,37.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,370,128
25001011802,Massachusetts,Barnstable County,1,4255,1895,0,0,0,0,7.5,79155,1,1,1,0,0,0,3536,494,938,2033,47.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1112,48
25001012001,Massachusetts,Barnstable County,1,5732,2715,1,1,0,1,6.4,71834,1,1,1,0,0,0,4933,338,974,1557,27.16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1074,108
25001012002,Massachusetts,Barnstable County,1,3007,1494,0,0,0,1,9.5,61711,0,0,0,0,0,0,1285,43,257,227,7.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,607,118
25001012101,Massachusetts,Barnstable County,0,5339,2330,0,0,0,0,5,80217,0,0,0,0,0,0,NULL,NULL,NULL,3023,56.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1110,76
25001012102,Massachusetts,Barnstable County,1,3057,1498,1,1,1,1,10.9,69659,1,1,1,0,0,1,2967,540,788,2157,70.57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,805,205
25001012200,Massachusetts,Barnstable County,0,5046,2139,0,0,0,0,2.4,123750,0,0,0,0,0,0,NULL,NULL,NULL,4773,94.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,409,15
25001012502,Massachusetts,Barnstable County,1,3080,1440,1,1,1,1,15.5,68000,1,1,1,0,0,1,2924,888,1208,1949,63.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1513,189
25001012601,Massachusetts,Barnstable County,1,2877,1141,0,0,0,1,6.7,73958,0,0,0,0,0,0,1237,NULL,333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,822,134
25001012602,Massachusetts,Barnstable County,1,4915,1999,0,0,1,1,16.9,58607,0,0,0,0,0,1,3020,0,1402,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2258,171
25001012700,Massachusetts,Barnstable County,1,4562,2023,0,0,0,0,4.5,88591,1,1,1,0,0,0,3513,306,544,1575,34.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,656,28
25001012800,Massachusetts,Barnstable County,1,3923,1695,0,0,0,0,6.1,82813,1,1,1,0,0,0,3316,191,387,2202,56.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,536,95
25001012900,Massachusetts,Barnstable County,1,4135,1693,0,0,0,0,6.1,100222,1,1,1,0,0,0,4135,652,661,4081,98.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,621,0
25001013002,Massachusetts,Barnstable County,1,2899,1372,0,0,0,0,4.3,92763,1,1,1,0,0,0,2890,362,388,2707,93.37,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,375,75
25001013100,Massachusetts,Barnstable County,1,5935,2293,0,0,0,0,6.5,102306,1,1,1,0,0,0,5691,719,848,5161,86.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,817,16
25001013200,Massachusetts,Barnstable County,1,4783,1990,0,0,0,0,4.9,110080,1,1,1,0,0,0,4021,312,452,2874,60.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,534,13
25001013300,Massachusetts,Barnstable County,1,3218,1501,0,0,0,0,6.1,123952,1,1,1,0,0,0,2456,124,469,748,23.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,521,21
25001013400,Massachusetts,Barnstable County,1,4163,1583,0,0,0,0,3.7,108750,1,1,1,0,0,0,4163,409,409,4163,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,360,8
25001013500,Massachusetts,Barnstable County,1,6940,2494,0,0,0,0,4,121357,1,1,1,0,0,0,6582,432,520,5761,83.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,590,62
25001013600,Massachusetts,Barnstable County,1,6334,2198,0,0,0,0,3.1,113024,1,1,1,0,0,0,5842,889,1138,3970,62.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1309,55
25001013700,Massachusetts,Barnstable County,1,4911,1676,0,0,0,0,5.8,105301,1,1,1,0,0,0,4911,490,677,3534,71.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,598,74
25001013800,Massachusetts,Barnstable County,1,4840,1907,0,0,0,0,5.6,99318,1,1,1,0,0,0,4314,327,444,3005,62.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,484,98
25001013900,Massachusetts,Barnstable County,1,4831,2181,0,0,0,0,3.3,92000,1,1,1,0,0,0,4831,988,988,4831,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,983,27
25001014002,Massachusetts,Barnstable County,1,4053,1877,0,0,0,0,6,91068,1,1,1,0,0,1,4053,734,734,4053,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,809,149
25001014100,Massachusetts,Barnstable County,0,1141,226,0,0,0,1,7,44375,0,0,0,0,0,0,NULL,NULL,NULL,1141,100,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,349,0
25001014300,Massachusetts,Barnstable County,1,4384,1973,0,0,0,0,2.4,126063,1,1,1,0,0,0,3870,228,300,3292,75.08,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,336,12
25001014402,Massachusetts,Barnstable County,0,6947,2792,0,0,0,0,6.2,102986,0,0,0,0,0,0,NULL,NULL,NULL,5767,83.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,906,52
25001014500,Massachusetts,Barnstable County,1,5395,2169,1,1,0,1,8.3,70183,1,1,1,0,0,0,5395,1494,1755,4668,86.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1789,86
25001014600,Massachusetts,Barnstable County,1,4130,1797,0,0,0,0,3.3,79810,1,1,1,0,0,0,2971,317,690,1399,33.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,894,130
25001014700,Massachusetts,Barnstable County,1,3690,1749,1,1,0,1,7.2,73345,1,1,1,0,0,0,3260,237,743,971,26.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,722,51
25001014800,Massachusetts,Barnstable County,1,3387,1795,0,0,0,0,8.4,93616,0,0,0,0,0,0,928,NULL,162,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1125,388
25001014900,Massachusetts,Barnstable County,1,3598,1794,0,0,0,0,5.8,109602,1,1,1,0,0,1,3596,369,647,2655,73.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,577,150
25001015001,Massachusetts,Barnstable County,1,4417,1730,0,0,0,0,6.1,87373,1,1,1,0,0,0,4417,833,906,4192,94.91,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,891,15
25001015002,Massachusetts,Barnstable County,1,3713,1732,1,1,1,1,5.7,64335,1,1,1,0,0,1,2977,430,952,1325,35.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1332,157
25001015100,Massachusetts,Barnstable County,1,3809,1648,0,0,0,0,8.9,103542,1,1,1,0,0,0,2798,178,408,1225,32.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,501,41
25001015200,Massachusetts,Barnstable County,0,2065,1007,0,0,0,0,4.7,112344,0,0,0,0,0,0,NULL,NULL,NULL,2061,99.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,373,22
25001015300,Massachusetts,Barnstable County,1,3038,1440,0,0,1,1,25.4,36250,0,0,0,0,0,1,1097,188,664,308,10.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1647,296
25003900100,Massachusetts,Berkshire County,1,3389,1920,0,0,0,1,31,23621,0,0,0,0,0,0,1,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2079,678
25003900200,Massachusetts,Berkshire County,1,4449,1968,0,0,0,1,17.3,37461,0,0,0,0,0,0,1656,NULL,908,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2342,422
25003900300,Massachusetts,Berkshire County,1,2903,1211,0,0,0,1,11.9,74340,0,0,0,0,0,0,1678,11,507,36,1.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,773,80
25003900400,Massachusetts,Berkshire County,1,4862,2101,1,1,1,1,22,49356,1,1,1,0,0,1,4165,466,1321,2617,53.83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2581,323
25003900500,Massachusetts,Berkshire County,0,3288,1318,0,0,0,0,5.4,86550,0,0,0,0,0,0,NULL,NULL,NULL,2298,69.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,643,54
